id	author name	title catalog	vols	pub date	pub location
260818		The adulteress, or, Anecdotes of two noble families : A tale : In four volumes / By an English-woman.	4	1810	London
260819	Opie, Amelia Alderson	Temper, or, Domestic scenes : a tale, in three volumes / by Mrs. Opie.	3	1812	London
260820	Ashe, Thomas	The liberal critic, or, Memoirs of Henry Percy : conveying a     correct estimate of the manners and principles of the present times/ By      Thomas Ashe, Esq.	3	1812	London
260821	Manvill, P.D	Lucinda, or, The mountain mourner : Being recent facts in a series of letters / from Mrs. Manvill, in the State of New-York, to her sister in Pennsylvania.	1	1817	Ballston Spa, NY :
260822	Paltock, Robert	The life & adventures of Peter Wilkins, a Cornish man : taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector / by R.S., a passenger in the Hector.	2	1816	London
260823		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.	6	1811	London
260824		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.	6	1811	London
260825	Bigelow, Jacob	The wars of the gulls : an historical romance : In three chapters.	1	1812	New York
260826	Jacson, Frances	Rhoda : a novel / By the author of ""Things by their right names"" and ""Plain sense."	3	1816	London
260827	De Lourdoueix, M	Charenton, or, The follies of the age : a philosophical romance  / by M. de Lourdoueix ; translated from the French.	1	1818	London
260828	Brackenridge, H. H	Modern chivalry : containing the adventures of a captain, and Teague O\\\'Regan, his servant / By H.H. Brackenridge.	1	1815	Wilmington :
260829	Aulnoy	The history of Hypolitus, earl of Douglas : with the secret history of Macbeth, king of Scotland : to which is added, The art of love, or   The amours of Count Schlick and a young lady of quality.	1	1741	London
260830	Surr, T. S	The magic of wealth : a novel / by T. S. Surr.	3	1815	London
260831	West	The loyalists : an historical novel / by the author of ""Letters to a young man,"" ""A tale of the times,"" &c."	3	1812	London
260832	West	The loyalists : an historical novel / by the author of ""Letters to a young man,"" ""A tale of the times,"" &c."	3	1812	London
260833	Scott, Walter	Rob Roy / by the author of ""Waverley,"" ""Guy Mannering,"" and ""The antiquary."	3	1818	Edinburgh
