id	author name	title catalog	vols	pub date	pub location
260918	Roche, Regina Maria	The monastery of St. Columb, or, The atonement : a novel / by Regina Maria Roche.	5	1813	London
260919	Ross	The balance of comfort, or, The old maid and married woman : a novel / by Mrs. Ross.	3	1817	London
260920	Ross	The balance of comfort, or, The old maid and married woman : a novel / by Mrs. Ross.	3	1817	London
260922	Porter, Anna Maria	The recluse of Norway / by Anna Maria Porter.	2	1815	Philadelphia
260924	Barlow, F	A sequel to Coelebs, or, The Stanley letters : containing observations on religion and morals, with anecdotes founded on fact.	1	1812	London
260925	West	The loyalists : an historical novel / by the author of ""Letters to a young man"", ""A tale of the times"", &c."	2	1813	Boston
260929	Rousseau, Jean-Jacques	Eloisa : a series of letters / translated from the French of J.J. Rousseau; to which are added, The adventures of Lord B- at Rome, being the sequel of Eloisa (found among the author\\\'s papers after his decease).	3	1810	London
260930	Mathers, John	The history of Mr. John Decastro and his brother Bat, commonly called Old Crab : in four volumes / the merry matter written by John Mathers, the grave by a solid gentleman.	4	1815	London
260931	Corp, Harriet	An antidote to the miseries of human life, in the history of the widow Placid and her daughter Rachel / by Harriet Corp.	1	1814	London
260933	Cuthbertson, Catherine	Adelaide, or, The countercharm : a novel.../ By the author of ""Santo Sebastiano, or, The young protector,"" ""Romance of the Pyrenees,"" and ""The forest of Montalbano"" ..."	5	1813	London
260934	Cuthbertson, Catherine	Rosabella, or, A mother\\\'s marriage : a novel : in five volumes / By the author of The romance of the Pyrenees, Santo Sebastiano, or, The young protector, The forest of Montalbano ...	5	1817	London
260935	Cuthbertson, Catherine	Rosabella, or, A mother\\\'s marriage : a novel : in five volumes / By the author of The romance of the Pyrenees, Santo Sebastiano, or, The young protector, The forest of Montalbano ...	5	1817	London
260936	Dallas, Alexander R.C	Felix Alvarez, or, Manners in Spain : containing descriptive accounts of some of the prominent events of the late peninsular war : and authentic anecdotes illustrative of the Spanish character : interspersed with poetry, original, and from the Spanish / by Alexander R.C. Dallas.	3	1818	London
260937	Edgeworth, Maria	Harrington : a tale and Ormond : a tale / by Maria Edgeworth, author of Comic dramas, Tales of fashionable life, &c. &c ; in three volumes.	3	1817	London
260938	Dallas, Robert Charles	The miscellaneous works and novels of R. C. Dallas.	7	1813	London
260940		Harold the exile.	3	1819	London
260941	Herbster, F.	The cavern of Roseville, or, The two sisters : a tale / translated from the French of Madame Herbster by A. Jamieson.	1	1817	London
260942	Hutton, Catherine	The miser married : a novel / by Catherine Hutton.	3	1813	London
260943	Johnstone, C. I	Clan-Albin : a national tale.	4	1815	London
260944	Leadbeater, Mary	Tales for cottagers : accomodated to the present condition of the Irish peasantry / by Mary Leadbetter and Elizabeth Shakleton.	1	1814	Dublin
260945		The absent man : a narrative / edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.	1	1817	London
260946		The absent man : a narrative / edited by Sir Peter Plastic, Knight of the Order of the Tower and Sword.	1	1817	London
