id	title	author	date	a	b	v	x
440305	Elizabeth, or, the exiles of Siberia, translated by Mrs. Meeke.  	Cottin, Madame (Sophie),	1814	['Pencil']	['Page 148']		['below engraving on first title page; indicates page on which scene depicted can be found']
440308	Glenarvon. In three volumes. Vol. I. Third Edition.	Lamb, Caroline,	1816	['Pencil']	['Words']	['v.1']	['""Byron said of it \'as for the likeness, the picture can\'t be good. I didn\'t sit long enough!\'"", ""Glenarvon is Byron."" [illeg. list of character approximations], ""p. 243 who is [illeg.], next flyleaf contains a summary of the work."']
440320	Third edition. Life high & low. By the author of The Greeks, Pigeons, Fashion, To night, Ton, Modern belles, Modern beaux, Dress and address, &c. Embellished with humorous colored plates. 	Author of The Greeks	1819	['Pencil']	['Words; Editorial Markings']		['On title page']
440321	The surprising adventures of Bampfylde Moore Carew, king of the beggars containing his life a dictionary of the Cant Language and many entertaining particulars of that extraordinary man. A new edition corrected & much improved.		1812	['Ink']	['Words']		['On the back pastedown: ""[illegible] The second Duke of Buckingham, Son of [1st] Duke, killed by Felton, [owner] of Helmsley castle - ""Zimri"" in Dryden\'s \'Absolom & Achitophel,\' who died according to Pope, ""in the worst [illegible]"" at [Kirbymoorside] [?] - [BB]M[?]"']
440354	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Pencil']	['Editorial markings']		['Numerous pages of the work have large sections of text underlined in pencil or pen.']
440358	Amabel; or, memoirs of a woman of fashion. By Mrs. Hervey, author of The Mourtray family, &c. In four volumes. Vol. I.	Hervey, Elizabeth	1814	['Pencil']	['Words']	['v.1']	['Marginalia appears infrequently; words are underlined or circled.']
440369	Elizabeth, or, the exiles of Siberia, translated by Mrs. Meeke.  	Cottin, Madame (Sophie),	1814	['Pencil']	['Page 148']		['below engraving on first title page; indicates page on which scene depicted can be found']
440372	Glenarvon. In three volumes. Vol. I. Third Edition.	Lamb, Caroline,	1816	['Pencil']	['Words']	['v.1']	['""Byron said of it \'as for the likeness, the picture can\'t be good. I didn\'t sit long enough!\'"", ""Glenarvon is Byron."" [illeg. list of character approximations], ""p. 243 who is [illeg.], next flyleaf contains a summary of the work."']
440385	Third edition. Life high & low. By the author of The Greeks, Pigeons, Fashion, To night, Ton, Modern belles, Modern beaux, Dress and address, &c. Embellished with humorous colored plates. 	Author of The Greeks	1819	['Pencil']	['Words; Editorial Markings']		['On title page']
440386	The surprising adventures of Bampfylde Moore Carew, king of the beggars containing his life a dictionary of the Cant Language and many entertaining particulars of that extraordinary man. A new edition corrected & much improved.		1812	['Ink']	['Words']		['On the back pastedown: ""[illegible] The second Duke of Buckingham, Son of [1st] Duke, killed by Felton, [owner] of Helmsley castle - ""Zimri"" in Dryden\'s \'Absolom & Achitophel,\' who died according to Pope, ""in the worst [illegible]"" at [Kirbymoorside] [?] - [BB]M[?]"']
440400	The pilgrim's progress from this world to that which is to come: delivered under the similitude of a dream. By John Bunyan. Johnson's edition.	Bunyan, John	1805	['Pencil']	['Drawings']		['Several scribblings and ornate letters appear in pencil on the back flyleaf of the book.']
440406	Reginald Dalton. By the author of Valerius, and Adam Blair. In three volumes. Vol. I	Lockhart, J.G. (John Gibson),	1823	['Pencil']	['Numbers']	['v.1']	['""3855"" on verso of title page"']
440410	The adventures of Gil Blas. Translated from the French of Le Sage by Tobias Smollet, MD. Vol. I.	Le Sage, Alain-RenÈ	1809	['Ink']	['Numbers']	['v. 1']	['A few numbers are scribbled in ink on the front pastedown.']
440417	The philosophical wanders: or, the history of the Roman tribune, and the Priestess of Minerva: exhibiting the vicissitudes that diversify the fortunes of nations and individuals. By John Bigland, author of ""the historical and geographical view of the world;"" ""letters on ancient and modern history,"" &c. &c.  	Bigland, John	1811	['Pencil']	['Words']		['One of the front flyleaves has what looks like initials or letters written on it.']
440419	The Quakers; a tale. By Elizabeth B. Lester.	Lester, Elizabeth B	1818	['Pencil']	['Words']		['Leaf before back pastedown, recto top left corner - ""From sale of [Sr. Go.?] Pennsylvanian library"']
440421	The quakers; a tale. By Elizabeth B. Lester.	Lester, Elizabeth B	1818	['Pencil']	['Editorial markings']		['Throughout the text, a reader has made various markings in extremely light pencil. Appears on pages 9, 87, 98, 128, 208, 209.']
1337190	Rosa; or, American genius and education.		1810	['Pencil']	['Numbers']		['Pages 217-219 numbered 1,2,3']
1724557	Precaution, a novel. In two volumes. Vol. I.	Cooper, James Fenimore	1820	['Pencil']	['Editorial markings']		['Periodic corrections of textual errors, such as correction of ""it"" to ""hers"" on p. 228, and of ""evening"" to ""morning"" on p. 230"']
1783632	The wilderness; or Braddock's times. A tale of the west. In two volumes. Vol. I.	M\'Henry, James	1823	['Pencil']	['Reader markings']	['v.2']	['Pencil scribble over some of the text on p. 158.']
1786548	Tadeuskund, the last king of the Lenape. An historical tale.	Hentz, Nicholas Marcellus	1825	['Pencil']	['Words']		['""By Nicholas Marcellus Hentz"" written on front free endpaper, alongside ""67.50"", under which ""75.00"" is crossed out"']
1805125	Errata; or, the works of Will. Adams. A tale by the author of Logan, Seventy-six, and Randolph. In two volumes.--Vol. II.	Neal, John	1823	['Ink']	['Reader markings']	['v.2']	['Lines, possibly check marks, and underlining on several pages.']
194546	The history of Elenor Williams. By the author of the ""Orphan Sisters,"" and the ""Old Soldier."" First published by the Christian Tract Society. No. X.	M. A. P	1820	['Pencil']	['Editorial markings']		['On title page, some punctuation and parentheses inserted around title and publication information; the words ""Scr. note"" are pencilled in before the phrase ""First published by the Christian Tract Society."']
2427580	Gotham and the Gothamites, a medley.	Judah, Samuel B. H	1823	['Ink']	['Words']		['""LNN"" written on front paste-down endpaper"']
3454989	The templar. To which is added, the tales of Passaic. By a gentleman of New-York.		1822	['Pencil']	['Numbers']		['A series of numbers appears on the front free endpaper; these might be calculations of some sort']
3455066	Edmund and Margaret; or sobriety and faithfulness rewarded.		1822	['Pencil']	['Words']		['""1st ed. Wright 893"" written on front paste-down endpaper"']
3455155	History of Constantius and Pulchera; or, virtue rewarded.		1821	['Pencil']	['Words', 'Numbers']		['Very faint words in pencil appear on half title page, as well as number ""34"" in top right corner"']
3455357	The rebels, or Boston before the revolution. By the author of Hobomok.	Child, Lydia Maria Francis	1825	['Pencil']	['Words']		['""L. M. Child [ ] p. 40"" written on front paste down endpaper"']
3455848	The elixir of moonshine; being a collection of prose and poetry, by the mad poet. A great proportion of which has never before been published.	Clarke, McDonald	1822	['Pencil']	['Editorial markings']		['On title page, there is faintly written ""1st ed"" at top of page, with words following that are very faint and difficult to decipher. There is also written ""By McDonald Clarke"" below title, and ""[1822]"" beneath publication date."']
3457680	The pilot; a tale of the sea. By the author of The pioneers, &c. &c. In two volumes....Vol.I.	Cooper, James Fenimore	1823	['Pencil']	['Numbers']	['v.1"']	['Illegible letters and numbers located front paste-down endpaper; ""15.00"" located recto front free endpaper.']
3459911	Salmagundi; or, the whim-whams and opinions of Launcelot Langstaff, esq. and others. Third edition. Volume I.	Irving, Washington	1820	['Pencil']	['Reader markings']	['v.1', 'v.2']	['Check marks, question marks, brackets, and similar markings in margins.']
3464706	Koningsmarke, the long finne, a story of the new world. In two volumes. Vol. I.	Paulding, James Kirke	1823	['Pencil']	['Words']	['v.1']	['Located p. 189. Indecipherable.']
3466573	L.... family at Washington; or a winter in the metropolis.	Watterston, George	1822	['Pencil']	['Words']		['On verso front free endpaper. Likely library-related marginalia. Reads: ""By George Watterston"']
3468177	The valley of Shenandoah: or, memoirs of the Graysons. In two volumes.--Vol. I.	Tucker, George	1824	['Pencil']	['Words']	['v.1']	['On front pastedown endpaper. ReadS: ""[by George Tucker] 1st edition of his first novel---Back cover of Vol. 1 supplied---Wright 2609 (4 locations) 65.00"']
3469776	Yorktown: an historical romance. In two volumes. Volume I.	Cushing, E. L	1826	['Pencil']	['Words']	['v.1']	['On p.88-89. [unreadable]']
