pub date	author name	title catalog
1718	"Behn, Aphra, "	"The nun; or, the perjured beauty."
1718	"Behn, Aphra, "	"Agnes de castro; or, the force of generous love."
1718	"Behn, Aphra, "	"The ladies looking-glass to dress themselves by; or, the whole art of charming all mankind."
1718	"Behn, Aphra"	[Novels]
1718		"The Spanish politician, or, Some account of the management of Cardinal Alberoni : done out of French."
1718	M. H.	"The lover\'s week, or, The six days adventures of Philander and Amaryllis / written by a young lady."
1718	"Ward, Edward,"	"Miscellaneous writings, in verse and prose, both serious and comical : containing twenty one excellent poems upon very diverting subjects : also several pleasant letters upon various occasions, both in town and country : with merry observations and predictions upon every month, and every remarkable day throughout the year / by Mr. Edward Ward."
1719		The secret history of the Prince of the Nazarenes and two turks : to which is added The fatal amour between a beautiful lady and a young nobleman.
1719	"Aulnoy,"	The Prince of Carency; a novel. Written in French by the Countess d\'Aunois ... Tr. into English.
1719	"Defoe, Daniel,"	"The life and strange surprizing adventures of Robinson Crusoe, of York, Mariner : who lived eight and twenty years, all alone in an un-inhabited island on the coast of America, near the mouth of the great river of Oroonoque, having been cast on shore by ship wreck, where-in all the men perished but himself : with an account how he was at last as strangely deliver\'d by pyrates / written by himself."
1719	"Gildon, Charles,"	"The post-man robb\'d of his mail: or, The packet broke open. Being a collection of miscellaneous letters, serious and comical, amorous and gallant. Amongst which are, The lover\'s sighs: or, The amours of the beautiful Stremunia and Alphonso the Wise, king of Castile, and Aragon, and earl of Provence; with with her passionate letters to the king on his chusing another mistress. In five books. By the best wits of the present age."
1719	"Barker, Jane."	"The entertaining novels of Mrs. Jane Barker : in two volumes, I. Exilius, or, The banish\'d Roman, written (after the manner of Telemachus) for the instruction of some young ladies of quality, II. Clelia and Marcellus, or, The constant lovers, III. The reward of virtue, or, The adventures of Clarinthia and Lysander, IV. The lucky escape, or, The fate of Ismenus, V. Clodius and Scipiana, or, The beautiful captive, VI. Piso, or, The lewd courtier, VII. The happy recluse, or, The charms of liberty, VIII. The fair widow, or, False friend, IX. The amours of Bosvil and Galesia."
1720	"Manley,"	"Secret memoirs and manners of several persons of quality of both sexes : From the New Atalantis, an island in the Mediterranean ... : Written originally in Italian."
1720		"A select collection of novels : in four volumes / written by the most celebrated authors in several languages, many of which never appear\'d in English before; and all new translated from the originals, by several eminent hands."
1720	"Swift, Jonathan,"	"Miscellaneous works, comical & diverting / by T.R.D.J.S.D.O.P.I.I. ; in two parts. I. The tale of a tub, with the Fragment, & the Battel of the books, with considerable additions, & explanatory notes, never before printed.  II. Miscellanies in prose & verse, by the supposed author of the author of the first part."
1720	"Defoe, Daniel,"	"Memoirs of a cavalier, or, A military journal of the wars in Germany, and the wars in England : from the year 1632, to the year 1648 / written threescore years ago by an English gentleman, who served first in the army of Gustavus Adolphus, the glorious king of Sweden, till his death; and after that, in the royal army of King Charles the First, from the beginning of the rebellion, to the end of that war."
1720	"Manley,"	"The power of love: in seven novels. Viz. I. The fair hypocrite. II. The physician\'s stratagem. III. The wife\'s resentment. IV. V. The husband\'s resentment, in two examples. VI. The happy fugitives. VII. The perjur\'d beauty ... By Mrs. Manley."
1720	"Bond, William,"	"The history of the life and adventures of Mr. Duncan Campbell : a gentleman, who, tho\' deaf and dumb, writes down any stranger\'s name at first sight, with their future contingencies of fortune : now living in Exeter Court over-against the Savoy in the Strand."
1720	"Bond, William,"	"The history of the life and adventures of Mr. Duncan Campbell : a gentleman, who tho\' deaf and dumb, writes down any stranger\'s name at first sight: with their future contingencies of fortune. Now living in Exeter-Court over-against the Savoy in the Strand."
1720	"Defoe, Daniel,"	Serious reflections during the life and surprising adventures of Robinson Crusoe : with his Vision of the angelick world / written by himself.
