501	276157	 xii, iv, 276 p.	520: 0/8				
502	276158	 [4], 138 [i.e. 139], [1] p. (the last page blank) ;	520: 0/1				
503	276159	 5 v. :	520: 0/7				
504	279595	 2 v. ;					
505	299668	 [4], 225, [1], 267, [1], 107, [1], 76 p. ;	520: 0/1			595: 0/1	
506	340844	 2 v. ;		591: 0/1			
507	340846	 4 v. ;		591: 0/2			
508	340848	 viii, 268 p. ;	520: 0/1		594: 0/1		
509	340850	 6, [2], iv, 150 p. ;		591: 0/1		595: 0/2	656: 0/1
510	340854	 [4], ix, [1], viii, 264 p. ;	520: 0/2	591: 0/2			
511	340856	 [6], ix, [1], viii, 240 p. ;	520: 0/2	591: 0/2	594: 0/1		
512	340910	 64 p. ;	520: 0/3	591: 0/1	594: 0/1		656: 0/1
513	340911	 [4], xv, [5], 170 p. ;	520: 0/2	591: 0/1	594: 0/1		
514	341318	 2 v. :		591: 0/1			
515	341331	 327, [13] p., [2] leaves of plates :	520: 6/7				656: 0/2
516	341332	 2 v. ;					656: 0/2
517	341334	 xvi (i.e. xviii), 422 p.	520: 0/2	591: 0/2	594: 0/1		
518	341336	 3 v. ;					
519	341339	 2 v. ;					
520	341340	 4 v. ;					
521	341342	 2 v. ;		591: 0/1			
522	341344	 2 v. ;		591: 0/1			
523	341345	 2 v. ;					
524	341346	 2 v. ;					
525	341348	 2 v. ;					656: 0/1
526	341350	 [2], 248 p. ;				595: 0/1	
527	341351	 2 v. ;		591: 0/1			
528	341353	 5v. ;					
529	341354	 5 v. ;					
530	341355	 2 v. ;					
531	341358	 2 v. ;					
532	341360	 viii, 9-115 p., 3 leaves of plates :	520: 0/2				
533	341364	 4 v. ;		591: 0/2			
534	341366	 3 v. :		591: 0/1			
535	341367	 2 v. ;		591: 0/1			
536	341368	 2 v. :		591: 1/2			
537	341370	 2 v. ;					
538	341371	 2 v. ;		591: 0/1			
539	341373	 2 v. ;		591: 0/1			
540	341374	 [2], 262 p. ;			594: 0/2		
541	341376	 2 v. ;					
542	341377	 xii, 264 p. ;	520: 0/1	591: 0/1	594: 0/2		
543	341378	 264 p. ;		591: 0/1		595: 0/1	
544	341379	 3 v. ;					
545	341380	 2 v. ;		591: 0/2			
546	341381	 2 v. :		591: 0/1			
547	341383	 [2], vi, 280 p. ;	520: 0/2				
548	341384	 3 v. ;					
549	341385	 xxiv, 259, [5] p., [6] leaves of plates :	520: 0/3				656: 0/1
550	341386	 4 v. ;					
551	341387	 94 p. ;					
552	341388	 2 v. ;		591: 0/1			
553	341392	 88, 97-120, 113-176 p. ;		591: 0/1			
554	341393	 [6], 211, [1] p. (last page blank) ;	520: 0/1		594: 0/1		
555	341396	 [4], ii, [2], 227, [1] p. (last page blank) ;	520: 0/3		594: 0/1		
556	341398	 2 v. ;					
557	341399	 2 v. ;					
558	341400	 60 p. :		591: 0/1		595: 0/1	
559	341401	 3 v. ;					
560	341403	 2 v. ;				595: 0/1	
561	341404	 [4], 260 ;	520: 0/1				
562	341405	 2 v. ;					
563	341406	 2 v. ;					
564	341410	 135, [1] p. ;	520: 0/3	591: 0/1	594: 0/1		
565	341411	 3 v. ;					
566	341412	 2 v. ;					
567	341413	 2 v. ;					
568	341415	 2 v. ;		591: 0/1			
569	341416	 3 v. ;					
570	341417	 2 v. ;					
571	341418	 2 v. ;					
572	341419	 2 v. ;					
573	341420	 2 v. ;					
574	341421	 2 v. ;		591: 0/2			
575	341422	 2 v. ;					
576	341423	 3 v. ;					
577	341424	 2 v. ;					
578	341425	 2 v. ;					
579	341427	 10, [xi]-xviii, 293 p.	520: 0/8	591: 0/4	594: 0/2		656: 0/1
580	341429	 2 v. ;		591: 0/2			
581	341431	 2 v. ;		591: 0/1	594: 0/6		
582	341432	 2 v. ;					
583	341433	 2 v. ;					
584	341434	 219, [1] p. (the last page blank), 4 leaves of plates :					
585	341436	 4 v. :					
586	341439	 4 v. :					
587	341440	 162 p. ;			594: 0/1		
588	341441	 5 v. ;					
589	341442	 2 v. ;		591: 0/1			
590	341443	 4 v. :					
591	341445	 [6], 112, [6] p. ;	520: 0/1				656: 0/2
592	341446	 2 v. ;		591: 0/1			
593	341447	 3 v. ;					
594	341448	 2 v. ;					
595	341450	 2 v. ;					656: 0/1
596	341452	 2 v. ;					
597	341454	 3 v. ;					
598	341455	 3 v. ;					
599	341457	 4 v. :					
600	341458	 3 v. ;					
601	341460	 5 v. ;		591: 0/1			
602	341461	 3 v. ;		591: 0/1	594: 0/1		
603	341462	 2 v. ;					
604	341463	 2 v. ;					
605	341465	 2 v. ;					
606	341466	 3 v. ;					
607	341467	 3 v. ;		591: 0/1			
608	341468	 2 v. ;					
609	341469	 2 v. ;		591: 0/1			
610	341471	 2 v. ;					
611	341473	 3 v. ;					
612	341475	 2 v. ;					
613	341476	 2 v. ;		591: 0/1			
614	341477	 2 v. ;					
615	341479	 2 v. ;					
616	341480	 3 v. ;					
617	341481	 2 v. ;	520: 1/2				656: 0/1
618	341482	 2 v. ;					
619	341483	 2 v. ;					
620	341484	 2 v. ;					
621	341486	 3 v. ;	520: 2/3				
622	341489	 xiv, [2], 536 p. ;	520: 0/2		594: 0/1		
623	341490	 3 v. ;		591: 0/1			
624	341505	 2 v. ;					
625	341506	 3 v. ;		591: 0/1			
626	341507	 viii, 207, [1] p. (last page blank), [1] folded leaf of plates :	520: 0/3		594: 0/2		
627	341508	 2 v. ;					
628	341517	 2 v. ;					
629	341519	 2 v. ;					
630	341520	 2 v. ;					
631	341521	 iv, 66, [2] p. ;	520: 0/2	591: 0/2			
632	341522	 vi, 7-104 p. ;	520: 0/2				
633	341523	 [2], v, [3], 141, [1] p. ;	520: 0/3		594: 0/1	595: 0/1	
634	341524	 2 v. ;		591: 0/1		595: 0/1	
635	341525	 4 v. ;					
636	341526	 221, [1] p. (last page blank), 4 leaves of plates ;	520: 0/1	591: 0/1			
