Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7
1130	440410	[1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2]	2	[i]-xxi,  [1]-429, v. 1	['1', '429', '1']	1
1133	440413	[1, 2, 1, 1, 2]	2	[i]-vi, [1]-271, v.1; [1]-322, v.2 	['1', '271', '1', '1', '322', '2']	1
1134	440414	[1, 2, 1, 1, 1, 2]	2	[iii]-vi, [1]-271; v.1 	['1', '271', '1']	1
1138	440418	[1, 1, 2]	2	[i]-viii, [1]-159; v.1	['1', '159', '1']	1
1143	440423	[1, 2, 3, 4, 1, 2, 3, 4, 1, 1, 1, 2, 3, 4]	4	[i]-xxxv, [36]-286, v.1; [i]-xi, [12]-282; [i]-xi, [12]-303, v.3; [i]-xii, [13]-255, v.4	['36', '286', '1', '12', '282', '12', '303', '3', '13', '255', '4']	36
1162	179521-2	[1, 1]	1	2 v. ;	['2']	2
1165	1799320	[1, 2, 3, 1, 2, 3, 3, 3]	3	2 v. in 3 ;	['2', '3']	2
1216	196689	[1]	1	4 v. ;	['4']	4
1217	196691	[1, 2, 3, 4, 3, 4, 1, 1]	4	6 v. ;	['6']	6
1240	198938	[1, 1, 1]	1	2 v. ;	['2']	2
1252	218047	[1, 1, 1]	1	4 v. ;	['4']	4
1316	192415	[3, 4, 4, 5, 5, 6, 6, 7, 8, 9, 9]	9	2 v. :	['2']	2
1318	193580-2	[1, 2, 3, 1, 1]	3	4 v. ;	['4']	4
1354	295350	[2]	2	5 pts. in 2 v. (pts. 1-3: 465 p.; pts. 4-5: p. 351-700) ;	['5', '2', '1', '3', '465', '4', '5', '351', '700']	5
1369	3765310	[1, 1]	1	5 v. :	['5']	5
1397	986563-2	[1]	1	2 v. :	['2']	2
1398	991680	[1]	1	3 v. ;	['3']	3
1406	157471	[1, 1]	1	2 v. ;	['2']	2
1425	1808057	[1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3]	3	4 v. :	['4']	4
1448	3482651	[20]	20	4 v. in 1 (364 [i.e. 634] p., [15] leaves of plates) :	['4', '1', '364', '634', '15']	4
1450	349453	[1, 15, 1, 1]	15	2 v.	['2']	2
1543	3478219	[1, 1]	1	2 v. ;	['2']	2
1592	962416-3	[1, 1, 1]	1	2 v. (69, [1] p.) ;	['2', '69', '1']	2
1628	976233	[1, 2, 2, 3, 3]	3	4 v. ;	['4']	4
1641	105725-3	[1, 1, 2, 2, 1, 1]	2	3 v. ;	['3']	3
1699	3769976	[1]	1	2 v. :	['2']	2
1709	102829	[1, 1, 1]	1	2 v., [1] leaf of plates (231, [1]; 211, [5] p.) :	['2', '1', '231', '1', '211', '5']	2
1809	ocm07071452 	[1, 2, 1, 1]	2	3v. :	['3']	3
