id	title	author	date	other works	nouns	adjectives	places	persons	verbs	material objects	adverbs
440335	Original stories, from real life : with conversations, calculated to regulate the affections, and form the mind to truth and goodness. 	Wollstonecraft, Mary	1788		['Affection', 'Conversation', 'Edition', 'Goodness', 'Life', 'Mind', 'Story', 'Truth']	['New', 'Original', 'Real']		['Mary Wollstonecraft']	['Calculate', 'Form', 'Regulate']		
440336	Original stories from real life; with conversations, calculated to regulate the affections, and form the mind to truth and goodness. By Mary Wollstonecraft. A new edition. 	Wollstonecraft, Mary	1796		['Affection', 'Conversation', 'Edition', 'Goodness', 'Life', 'Mind', 'Story', 'Truth']	['New', 'Original', 'Real']		['Mary Wollstonecraft']	['Calculate', 'Form', 'Regulate']		
440339	The unfortunate bride: or, the blind lady a beauty.  A novel.  By Mrs. A. Behn.	Behn, Aphra	1700		['Beauty', 'Bride', 'Lady', 'Novel']	['Blind', 'Unfortunate']		['Mrs. A. Behn']			
440340		Behn, Aphra	1700		['Force', 'Imagination', 'Novel', 'Virgin']	['Dumb', 'Written']		['Mrs. Behn']			
440346	The unfortunate happy lady.  A true history.  By Mrs. A. Behn.	Behn, Aphra	1700		['History', 'Lady']	['Happy', 'True', 'Unfortunate']		['Mrs. A. Behn']			
440347	The unhappy mistake: or, the impious vow punish'd.  By Mrs. A. Behn.	Behn, Aphra	1698		['Mistake', 'Vow']	['Impious', "Punish'd", 'Punished', 'Unhappy']		['Mrs. A. Behn']			
440350	The wandring beauty. Or, the lucky fair one. By Mrs. A. Behn.	Behn, Aphra	1700		['Beauty']	['Fair', 'Lucky', 'Wandering', 'Wandring']		['Mrs. A. Behn']			
440351	The theory or system of several new inhabited worlds, lately discover'd and pleasantly describ'd, in five nights conversation with Madam the Marchioness of *****. Written in French by the famous Mons. Fontanelle. Made English by Mrs. Behn.	Behn, Aphra	1700		['Conversation', 'French', 'System', 'Theory', 'World']	["Describ'd", 'Described', 'Discovered', 'Famous', 'Five', 'Inhabited', 'New-inhabited', 'Several', 'Translated', 'Written']		['Madam the Marchioness of *****', 'Mons. Fontanelle', 'Mrs. Behn']			['Lately', 'Newly', 'Pleasantly']
440354	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Views of society and manners in America']	['Author', 'Day', 'Manner', 'Manuscript', 'Society', 'Translation', 'View']	['Few', 'Greek']	['America', 'Athens', 'Herculaneum']	['Discover', 'Frances Wright']		['Manuscript']	
440355	Abdeker, or, The art of preserving beauty : translated from an Arabic manuscript	Le Camus, Antoine	1754		['Art', 'Beauty', 'Manuscript']	['Arabic']		['Abdeker']	['Preserve', 'Translate']	['Manuscript']	
440356	The prince of Abissinia. A tale. By Samuel Johnson, LL.D. The two volumes complete in one. Volume the first.	Johnson, Samuel	1791		['Prince', 'Tale', 'Volume']	['Complete', 'Two']	['Abissinia']	['Samuel Johnson, LL.D.']			
440357	Adsonville: or marrying out. A narrative tale.		1824		['Tale']	['Narrative']	['Adsonville']		['Marry']		['Out']
440358	Amabel; or, memoirs of a woman of fashion. By Mrs. Hervey, author of The Mourtray family, &c. In four volumes. Vol. I.	Hervey, Elizabeth	1814	['The Mourtray family']	['Author', 'Family', 'Fashion', 'Memoir', 'Volume', 'Woman']	['Four']		['Amabel', 'Mourtray', 'Mrs. Hervey']		['Memoir']	
440360	An antidote to the miseries of human life: in the history of the widow Placid and her daughter Rachael. The first American, from the second London, Edition. 	Corp, Harriet	1808		['Antidote', 'Daughter', 'History', 'Life', 'Misery', 'Widow']	['American', 'First', 'Human', 'Second']	['Rachael', 'Widow Placid']	['London']			
440361	The voyages and adventures of Captain Robert Boyle. In several parts of the world intermixed with the story of Miss Villar, an English lady, with whom he made his surprising escape from Barbary. Likewise including the history of an Italian captive, and the life of Don Pedro Aquilio, &c. Full of various and amazing turns of fortune.	Chetwood, W.R. (William Rufus),	1799		['Adventure', 'Captain', 'Captive', 'Escape', 'Fortune', 'History', 'Lady', 'Life', 'Part', 'Story', 'Turn', 'Voyage', 'World']	['Amazing', 'English', 'Full', 'Italian', 'Several', 'Surprising', 'Various']	['Barbary']	['Captain Robert Boyle', 'Don Pedro Aquilio', 'Miss Villar']	['Include', 'Intermix']		['Likewise']
